ACCT_NBR,CUST_ID,CANCEL_NO_CONTACT,IS_DIGITAL,ACCT_OPEN_DT
ACCT6068,ID5684,0,0,8400
ACCT11459,ID10838,0,0,9569
ACCT15832,ID15012,0,0,8380
ACCT15612,ID14797,0,0,10610
ACCT18659,ID17677,0,0,9666
ACCT392,ID366,0,0,10470
ACCT17736,ID16828,0,0,8052
ACCT24800,ID23518,0,0,7875
ACCT3696,ID3468,0,0,10345
ACCT17291,ID16395,0,0,7875
ACCT2856,ID2713,0,0,10528
ACCT6705,ID6311,1,0,9777
ACCT6849,ID6453,1,0,9777
ACCT5685,ID5310,1,0,9777
ACCT21851,ID20697,0,0,10175
ACCT17675,ID16767,0,0,6860
ACCT17486,ID16586,0,0,8903
ACCT15134,ID14341,0,0,10172
ACCT28429,ID26990,0,0,6855
ACCT15342,ID14539,0,0,8180
ACCT20727,ID19615,0,0,10127
ACCT11119,ID10509,0,0,8178
ACCT14375,ID13617,1,0,8937
ACCT6228,ID5842,0,0,8799
ACCT5151,ID4818,0,0,9555
ACCT16671,ID15805,0,0,9636
ACCT4882,ID4552,0,0,6364
ACCT30055,ID28538,0,0,6739
ACCT2052,ID1938,1,0,9876
ACCT25033,ID23744,1,0,9876
ACCT27238,ID25844,0,0,8267
ACCT15340,ID14537,0,0,9485
ACCT29201,ID27730,0,0,8827
ACCT22311,ID21148,0,0,8828
ACCT2938,ID2790,0,0,7064
ACCT22440,ID21275,0,0,7063
ACCT28217,ID26791,0,0,7063
ACCT14897,ID14112,0,0,7471
ACCT22270,ID21107,0,0,8329
ACCT17513,ID16613,0,0,8329
ACCT29874,ID28364,0,0,9776
ACCT19817,ID18763,0,0,8278
ACCT28020,ID26598,1,0,8278
ACCT4287,ID4030,1,0,7685
ACCT11763,ID11133,0,0,8008
ACCT22364,ID21201,0,0,8008
ACCT12085,ID11444,0,0,8653
ACCT17724,ID16816,0,0,8654
ACCT19777,ID18724,0,0,10130
ACCT12624,ID11957,0,0,10130
ACCT23313,ID22118,0,0,10130
ACCT3799,ID3568,0,0,10130
ACCT11969,ID11335,0,0,10130
ACCT8770,ID8282,0,0,10414
ACCT7804,ID7351,0,0,8124
ACCT13574,ID12857,0,0,9006
ACCT5917,ID5535,0,0,9209
ACCT12754,ID12080,0,0,8173
ACCT27277,ID25879,0,0,10653
ACCT15652,ID14837,0,0,7305
ACCT16624,ID15765,0,0,9769
ACCT27189,ID25795,0,0,9477
ACCT12532,ID11866,0,0,10263
ACCT29110,ID27641,0,0,8162
ACCT27577,ID26168,0,0,9405
ACCT1824,ID1718,0,0,8960
ACCT14254,ID13507,0,0,8954
ACCT458,ID424,0,0,8399
ACCT25933,ID24604,0,0,8401
ACCT30296,ID28771,0,0,8401
ACCT18366,ID17400,0,0,10392
ACCT31170,ID29601,0,0,10393
ACCT22851,ID21671,0,0,8563
ACCT20122,ID19052,0,0,8052
ACCT11816,ID11185,1,0,9302
ACCT29138,ID27669,1,0,8562
ACCT1129,ID1057,0,0,9309
ACCT23780,ID22575,0,0,8561
ACCT19546,ID18512,0,0,10662
ACCT9562,ID9024,0,0,10662
ACCT6285,ID5898,0,0,10654
ACCT2612,ID2479,0,0,10654
ACCT904,ID843,0,0,10364
ACCT21373,ID20235,0,0,10365
ACCT30142,ID28620,0,0,9625
