CUST_ID,ACCT_NBR,DATA_DT
ID27476,ACCT28942,18265
ID5709,ACCT6094,18265
ID20961,ACCT22123,18279
ID13531,ACCT14280,18265
ID713,ACCT764,18263
ID1185,ACCT1259,18261
ID29375,ACCT30929,18261
ID15982,ACCT16864,18263
ID20290,ACCT21431,18285
ID28253,ACCT29760,18263
ID21364,ACCT22529,18266
ID23833,ACCT25122,18285
ID1577,ACCT1679,18288
ID11719,ACCT12372,18260
ID3678,ACCT3916,18285
ID25942,ACCT27348,18276
ID1281,ACCT1365,18286
ID18923,ACCT19982,18281
ID16412,ACCT17308,18282
ID22602,ACCT23809,18266
ID4578,ACCT4908,18261
ID25115,ACCT26467,18281
ID20321,ACCT21463,18265
ID8146,ACCT8630,18261
ID28002,ACCT29487,18264
ID25639,ACCT27023,18261
ID28637,ACCT30159,18278
ID13123,ACCT13854,18276
ID16846,ACCT17756,18267
ID5613,ACCT5996,18261
ID10121,ACCT10710,18272
ID19628,ACCT20740,18263
ID9505,ACCT10071,18273
ID6841,ACCT7272,18265
ID27619,ACCT29088,18278
ID10186,ACCT10780,18261
ID248,ACCT266,18264
ID14676,ACCT15484,18275
ID1416,ACCT1507,18274
ID1676,ACCT1782,18264
ID11083,ACCT11711,18261
ID12648,ACCT13358,18276
ID3842,ACCT4096,18265
ID6937,ACCT7371,18278
ID20419,ACCT21566,18261
ID1917,ACCT2028,18274
ID28594,ACCT30112,18260
ID17643,ACCT18617,18289
ID27590,ACCT29059,18284
ID4633,ACCT4965,18282
ID25339,ACCT26703,18277
ID1735,ACCT1841,18266
ID7582,ACCT8053,18263
ID29430,ACCT30985,18283
ID19003,ACCT20070,18276
ID4722,ACCT5054,18286
ID23567,ACCT24849,18281
ID10910,ACCT11533,18267
ID12362,ACCT13046,18260
ID7582,ACCT8054,18260
ID5153,ACCT5520,18262
ID22693,ACCT23905,18276
ID15351,ACCT16186,18272
ID7113,ACCT7554,18287
ID6288,ACCT6682,18271
ID7239,ACCT7689,18270
ID6840,ACCT7271,18270
ID26053,ACCT27459,18289
ID12943,ACCT13663,18268
ID23732,ACCT25021,18277
ID10059,ACCT10648,18274
ID651,ACCT699,18283
ID10131,ACCT10720,18276
ID9719,ACCT10290,18283
ID3680,ACCT3918,18264
ID384,ACCT411,18279
ID5129,ACCT5495,18278
ID751,ACCT805,18277
ID12489,ACCT13177,18284
ID2043,ACCT2161,18273
ID22179,ACCT23381,18269
ID19245,ACCT20337,18268
ID5272,ACCT5645,18260
ID5595,ACCT5977,18267
ID28185,ACCT29688,18261
ID28665,ACCT30187,18279
ID12197,ACCT12874,18263
ID10723,ACCT11336,18280
ID12255,ACCT12935,18265
ID16273,ACCT17168,18280
ID9013,ACCT9551,18272
ID25734,ACCT27123,18286
ID8094,ACCT8578,18262
ID29142,ACCT30683,18282
ID25454,ACCT26823,18261
ID29348,ACCT30901,18283
ID18625,ACCT19671,18275
ID635,ACCT683,18272
ID22247,ACCT23449,18277
ID720,ACCT771,18268
ID29014,ACCT30555,18261
ID14196,ACCT14982,18286
ID17429,ACCT18397,18259
ID8,ACCT12,18271
ID29658,ACCT31228,18278
ID28089,ACCT29576,18273
ID8111,ACCT8595,18274
ID280,ACCT302,18277
ID7138,ACCT7582,18275
ID2754,ACCT2899,18264
ID27480,ACCT28946,18268
ID4259,ACCT4524,18271
ID17323,ACCT18286,18279
ID6193,ACCT6587,18289
ID8251,ACCT8739,18276
ID4699,ACCT5031,18289
ID12158,ACCT12834,18283
ID17673,ACCT18655,18261
ID18873,ACCT19929,18283
ID15840,ACCT16710,18275
ID1284,ACCT1368,18270
ID11890,ACCT12556,18267
ID10881,ACCT11503,18288
ID10138,ACCT10727,18263
ID3042,ACCT3250,18288
ID13286,ACCT14018,18288
ID28237,ACCT29744,18278
ID18578,ACCT19615,18264
ID9778,ACCT10352,18267
ID19333,ACCT20434,18284
ID25814,ACCT27208,18277
ID20765,ACCT21923,18284
ID27999,ACCT29484,18272
ID18382,ACCT19404,18269
ID6933,ACCT7367,18285
ID22533,ACCT23737,18278
ID16921,ACCT17833,18268
ID1981,ACCT2095,18284
ID17712,ACCT18694,18288
ID23605,ACCT24887,18268
ID1007,ACCT1078,18289
ID10550,ACCT11160,18286
ID23930,ACCT25226,18275
ID13905,ACCT14678,18267
