CUST_ID,AUM_AMT,DATE_OF_BIRTH,YEARLYINCOMELEVEL,CNTY_CD
ID15561,8826950,0,,
ID24821,856205,0,,
ID2283,1613469,1,,
ID7282,557020,1,25.0,12
ID23931,200331,1,25.0,12
ID29385,3744976,1,,
ID11145,1056150,1,25.0,12
ID12861,88780,2,25.0,12
ID17364,78260,2,25.0,12
ID12190,64897,2,25.0,12
ID452,14870381,3,,
ID8059,87764,3,25.0,12
ID11390,280299,3,25.0,12
ID502,150377,3,25.0,12
ID15847,190640,3,25.0,12
ID23553,278949,3,25.0,12
ID29394,259403,3,25.0,12
ID25851,59405,3,25.0,12
ID14911,179892,3,25.0,12
ID8879,1263056,3,25.0,12
ID28899,8948,3,25.0,12
ID27537,332745,3,25.0,12
ID24432,25582,3,25.0,12
ID8464,24159,3,25.0,12
ID19668,51241,3,25.0,12
ID1399,82,3,25.0,12
ID15347,5721,4,,
ID169,245449,4,25.0,12
ID18506,151576,4,,
ID13918,37295,4,25.0,12
ID16682,7199281,4,,
ID149,54507,5,,
ID22783,0,5,,
ID17726,112514,5,25.0,12
ID9880,59407723,5,,
ID24123,104,5,25.0,12
ID7020,26039,5,25.0,12
ID16037,13797,5,25.0,12
ID26455,18030,5,25.0,12
ID4851,24327,6,25.0,12
ID21739,12351197,6,,
ID24275,83402,6,25.0,12
ID15061,515251,6,25.0,12
ID15228,300537,7,25.0,12
ID274,31438,7,25.0,12
ID10572,194273,7,25.0,12
ID16999,408,7,126.0,12
ID1113,23718,7,25.0,12
ID14145,135663,7,25.0,12
ID19727,299467,7,25.0,12
ID6406,10703,7,25.0,12
ID21028,44473176,7,,
ID24006,212092,7,25.0,12
ID12575,107266,7,25.0,12
ID23675,12637,7,25.0,12
ID25637,687904,8,25.0,12
ID29365,4614570,8,25.0,12
ID28416,78483,8,25.0,12
ID23841,185104,8,25.0,12
ID21675,52858,8,25.0,12
ID11463,47915,8,25.0,12
ID23989,276518,8,25.0,12
ID20707,43834,8,1000.0,12
ID19516,49615,8,25.0,12
ID14323,89867,8,25.0,12
ID8685,22781,9,25.0,12
ID6576,98901,9,,
ID7613,13797,9,25.0,12
ID27082,2360826,9,25.0,12
ID9039,3746684,9,,
ID22673,81784,9,25.0,12
ID29653,55585,9,25.0,12
ID22685,69941,9,25.0,12
ID5520,82290,9,25.0,12
ID13654,162595,9,25.0,12
ID6689,19551,10,25.0,12
ID23380,5633481,10,,
ID4075,1583311,10,25.0,12
ID4606,168649,10,25.0,12
ID10554,210949,10,25.0,12
ID29066,52450,10,25.0,12
ID24455,1024492,10,25.0,12
ID2122,3038137,10,25.0,12
ID20311,3107886,10,25.0,12
ID26714,397,11,25.0,12
ID28153,38521,11,25.0,12
ID4092,867310,11,25.0,12
ID17099,1781540,11,25.0,12
ID8397,44485,11,25.0,12
ID25896,29155,11,25.0,12
ID29104,661529,11,25.0,12
ID7849,652603,11,25.0,12
ID7065,2410145,11,25.0,12
ID19819,99771,11,25.0,12
ID12647,18432,11,25.0,12
ID29507,16942,12,25.0,12
ID13120,546,12,25.0,12
ID25664,14289,12,25.0,12
ID28699,341,12,25.0,12
ID14835,1652483,12,,
ID14476,5337,12,25.0,12
ID14747,566199,12,25.0,12
ID9615,173,12,25.0,12
ID23572,4436445,12,25.0,12
ID27205,5432531,12,126.0,12
ID27535,85854015,12,,
ID25758,61260,12,25.0,12
ID6288,366705,12,,
ID14321,60536,12,25.0,12
ID22809,148219799,13,25.0,12
ID4196,32886,13,25.0,12
ID25726,207970,13,25.0,12
ID4179,187942,13,25.0,12
ID1609,55186,14,25.0,12
ID12364,253,14,25.0,12
ID18541,265,14,25.0,12
ID13351,79904,14,25.0,12
ID4599,16629,14,25.0,12
ID17728,1197397,15,25.0,12
ID20099,7704,15,25.0,12
ID13810,873066,15,25.0,12
ID26485,148227007,15,25.0,12
ID22406,7190304,15,25.0,12
ID8575,514,15,25.0,12
ID1763,1108,15,25.0,12
ID25337,4182,15,25.0,12
ID27520,2953,15,25.0,12
ID9253,34420,15,25.0,12
ID7374,22626,15,25.0,12
ID17645,2843,15,25.0,12
ID13234,53632,15,25.0,12
ID19875,89111,15,25.0,12
ID15222,22793,15,25.0,12
ID13585,26381022,15,350.0,12
ID15165,25506,15,25.0,12
ID23991,526,16,25.0,12
ID19262,38812,16,25.0,12
ID12770,8733,16,25.0,12
ID2635,12448,16,25.0,12
ID3047,9455,16,25.0,12
ID13815,5112276,16,,12
ID10601,25228,16,25.0,12
ID7171,64335,16,25.0,12
ID240,18608,16,25.0,12
ID10717,905246,16,126.0,12
ID24639,3500290,16,25.0,12
ID13370,5305,16,25.0,12
ID10577,65057,16,25.0,12
ID17007,3078289,16,1000.0,12
ID15499,323,16,25.0,12
ID3442,102811,16,25.0,12
ID4765,3289,16,25.0,12
ID27437,10019,16,,
ID2323,2884,16,126.0,12
ID4442,7329888,16,,12
ID6450,1631,16,25.0,12
ID13074,11053,17,25.0,12
ID23118,664687,17,25.0,12
ID6269,29364,17,25.0,12
ID5514,58064,17,25.0,12
ID27595,86141,17,25.0,12
ID17392,66,17,25.0,14
ID5295,29,17,25.0,12
ID9012,46231,17,25.0,12
ID7582,1237,17,25.0,12
ID26236,415074,17,25.0,12
ID19825,243,17,25.0,12
ID24677,247222,17,25.0,12
ID9755,205632,17,25.0,12
ID20622,2866,17,25.0,12
ID28578,141107,17,25.0,12
ID15312,8617,17,25.0,12
ID15963,40229,17,25.0,12
ID18894,2048,17,25.0,12
ID13643,195217,17,25.0,12
ID14515,90,17,25.0,12
ID29058,149663,17,25.0,12
ID11242,1696514,17,25.0,12
ID12706,15,17,25.0,12
ID14050,9509,17,25.0,12
ID10889,492,17,25.0,12
ID5631,12,17,25.0,12
ID24765,213,17,25.0,12
ID10186,40448,17,25.0,12
ID8153,272357,17,25.0,12
ID22470,1076141,17,25.0,12
ID10644,12157,18,25.0,12
ID11191,346252,18,25.0,12
ID5943,20077,18,25.0,06
ID27565,1811774,18,,12
ID11176,116,18,25.0,12
ID22175,12600,18,25.0,12
ID3448,3204376,18,25.0,12
ID5903,67135,18,25.0,12
ID189,5914,18,25.0,12
ID16890,150877,18,25.0,12
ID13640,589,18,25.0,12
ID13688,530,18,25.0,12
ID15116,59850,18,25.0,12
ID6998,34689,18,25.0,12
ID12424,21115,18,25.0,12
ID18382,5053,18,25.0,12
ID14703,10180,18,25.0,12
ID14811,84710,18,25.0,12
ID4345,1574,18,25.0,12
ID1061,1825,18,25.0,12
ID9373,10013,18,25.0,12
ID27619,953,18,25.0,12
ID371,9225,18,25.0,12
ID5751,6134,18,25.0,12
ID27374,1056,18,25.0,12
ID14688,206,18,25.0,12
ID22399,0,18,25.0,12
ID28265,278355,18,25.0,12
ID5779,4158,18,25.0,12
ID20712,14792,18,25.0,12
ID9623,31,18,25.0,12
ID27994,98370,18,25.0,12
ID11579,10,18,25.0,12
ID16891,4950,18,25.0,12
ID6972,23101,18,25.0,12
ID23926,9517,18,25.0,12
ID7989,1824,18,,12
ID27448,4996298,18,,12
ID3516,25,18,25.0,12
ID7687,311614,18,25.0,12
ID14221,38654,18,25.0,12
ID23008,17,18,25.0,12
ID12838,25786,18,25.0,12
ID23136,789749,18,25.0,12
ID15397,44757,18,25.0,12
ID24825,36945,18,25.0,12
ID15274,18027,18,25.0,12
ID15329,106,18,25.0,12
ID23481,1909,18,25.0,12
ID2573,5011,18,25.0,12
ID9173,91,18,25.0,06
ID24021,9047,18,25.0,12
ID15813,17744,18,25.0,12
ID315,0,18,25.0,12
ID2418,1692,18,25.0,12
ID21766,78,18,25.0,12
ID598,154,18,25.0,12
ID24782,9511,18,25.0,12
ID1174,5731,18,25.0,12
ID26786,94,18,25.0,12
ID5378,10304738,18,,
ID12359,15414,18,25.0,12
ID23788,5292,18,25.0,12
ID13188,71,18,25.0,12
ID26469,1244,18,25.0,12
ID17229,32011,18,25.0,12
ID9891,470,18,25.0,12
ID23439,0,18,25.0,12
ID22460,37989,18,25.0,12
ID14916,5494,18,25.0,12
ID9970,16,18,25.0,12
ID17380,118166,18,25.0,12
ID7750,20001,18,25.0,12
ID23399,73720,18,25.0,12
ID7962,3759622,18,25.0,12
ID19448,31806,18,25.0,12
ID28900,2199,18,25.0,12
ID5824,5242,18,25.0,12
ID24874,39501,18,25.0,12
ID14171,334,18,25.0,12
ID17205,3016,18,25.0,12
ID6337,2024,18,25.0,12
ID10088,81,18,25.0,12
ID10500,6361,18,25.0,12
ID12505,15144,18,25.0,12
ID4466,66,18,25.0,12
ID23550,10,18,25.0,12
ID14149,1230,18,25.0,12
ID3011,41469,18,25.0,12
ID12179,15333,18,126.0,12
ID18210,1936,18,25.0,12
ID24616,324,18,25.0,12
ID2748,478,18,25.0,12
ID56,7797,18,25.0,12
ID24921,2398,18,,12
ID25881,444,18,25.0,12
ID6524,698,18,25.0,12
ID12026,294,19,25.0,12
ID29685,3707,19,25.0,12
ID18838,1325,19,25.0,12
ID16019,495,19,25.0,12
ID228,9889173,19,,12
ID19449,10462,19,25.0,12
ID6067,9547,19,25.0,12
ID2768,5430,19,25.0,12
ID11261,2262686,19,,
ID14227,1274,19,25.0,12
ID9181,20410,19,25.0,12
ID2951,106952,19,25.0,12
ID25613,17668,19,25.0,12
ID9027,425,19,25.0,12
ID8980,163,19,25.0,12
ID20633,1861,19,25.0,12
ID16732,68561,19,25.0,12
ID24935,46777,19,25.0,12
ID16152,15228,19,25.0,12
ID25472,1062,19,25.0,12
ID21269,16836,19,25.0,12
ID6422,12441,19,25.0,12
ID28673,48365,19,25.0,12
ID4347,15162,19,25.0,12
ID7589,241122,19,25.0,12
ID4633,16960,19,25.0,12
ID27743,1417,19,25.0,12
ID706,5026,19,25.0,12
ID18829,1847,19,25.0,12
ID29521,46,19,25.0,12
ID11446,681,19,,12
ID7866,103,19,25.0,12
ID4527,6788,19,25.0,12
ID17278,3164,19,25.0,12
ID9051,62889,19,25.0,12
ID6364,9694,19,25.0,12
ID1760,534,19,25.0,12
ID12840,2239,19,25.0,12
ID12215,26714,19,25.0,12
ID20776,528,19,25.0,12
ID24841,22930,19,25.0,12
ID8064,1219,19,25.0,12
ID6078,615,19,25.0,12
ID15679,50428,19,25.0,12
ID25837,44038,19,25.0,12
ID13880,43427,19,25.0,12
ID14581,12,19,25.0,12
ID4380,17421,19,,12
ID22645,34419,19,25.0,12
ID14147,65792,19,25.0,12
ID28862,118988,19,25.0,12
ID23462,16542,19,25.0,12
ID25676,25057,19,25.0,12
ID8014,1744311,19,,
ID27013,2604,19,25.0,12
ID2783,22197,19,25.0,12
ID10405,1544359,19,25.0,12
ID21719,8,19,25.0,14
ID2211,247,19,25.0,12
ID13497,25169,19,25.0,12
ID14003,0,19,25.0,12
ID21803,10029,19,25.0,12
ID2338,122891,19,25.0,12
ID7780,8169,19,25.0,12
ID25115,15293,19,25.0,12
ID22837,0,19,25.0,12
ID695,4491,19,25.0,12
ID23808,5908,19,25.0,12
ID652,409,19,25.0,12
ID22151,122,19,25.0,12
ID9247,27,19,25.0,12
ID19402,587,19,25.0,12
ID29608,1710,19,25.0,12
ID14641,24516,19,25.0,12
ID20960,229471,19,25.0,12
ID21280,96795,19,25.0,12
ID2064,41445,19,25.0,12
ID19790,79,19,25.0,06
ID18308,0,19,25.0,12
ID6222,28713,19,25.0,12
ID3399,27050,19,25.0,14
ID12271,64,19,25.0,12
ID25078,11013,19,25.0,12
ID4934,94422,19,25.0,12
ID26766,27427,19,25.0,12
ID24236,3187,19,25.0,12
ID10980,94,19,25.0,12
ID22787,316589,19,25.0,12
ID6945,30660,19,25.0,12
ID20112,9303,19,25.0,12
ID18181,24600,19,25.0,12
ID20522,7888,19,25.0,12
ID837,19346,19,25.0,12
ID6897,156,19,25.0,12
ID11397,32,19,25.0,12
ID25721,54887,19,,12
ID2879,6091,19,25.0,12
ID21276,36584,19,25.0,12
ID24113,53994,19,25.0,12
ID1164,69236,19,25.0,12
ID13972,114752,19,25.0,12
ID6888,5769,19,25.0,12
ID16822,3142,19,25.0,12
ID21782,54777,19,25.0,12
ID26977,782,19,25.0,12
ID10367,51370,19,25.0,12
ID29820,505,19,25.0,06
ID8056,10018,19,25.0,12
ID15868,626,19,25.0,12
ID23715,10,19,25.0,12
ID16921,40172,19,25.0,12
ID225,4410,19,25.0,12
ID12648,592,19,25.0,12
ID10318,54,19,25.0,12
ID22303,108702,19,25.0,12
ID16855,8035,19,25.0,12
ID3350,156017,19,25.0,12
ID3142,3205,19,25.0,12
ID21844,121994,19,25.0,12
ID5928,28248,19,25.0,12
ID15242,86,19,25.0,12
ID12086,237371,19,25.0,12
ID15632,832,19,25.0,12
ID21533,1704,19,25.0,12
ID28092,241645,19,25.0,12
ID4000,39,19,,12
ID5962,219590,19,25.0,12
ID15895,3762,19,25.0,12
ID19898,0,19,25.0,12
ID28991,1588,19,25.0,12
ID6435,4,19,25.0,12
ID2173,16108,19,25.0,12
ID7283,18947,19,25.0,12
ID4510,241034,19,25.0,12
ID4651,0,19,25.0,12
ID15841,4090,19,25.0,12
ID11425,1312,19,25.0,12
ID20490,22098,19,25.0,12
ID28973,498,19,25.0,12
ID3775,102,19,25.0,12
ID20843,56333,19,25.0,12
ID5668,0,19,25.0,12
ID23930,151,19,25.0,12
ID6162,31129,19,25.0,12
ID22456,224,19,25.0,12
ID18727,55658,19,25.0,12
ID13642,312,19,25.0,12
ID2927,6745,19,25.0,12
ID2153,187,19,25.0,12
ID9598,0,19,25.0,12
ID10620,3137,19,25.0,12
ID21214,590,19,25.0,12
ID8077,151376,19,25.0,12
ID2974,7850,19,25.0,12
ID4846,296131,19,25.0,12
ID8603,5604,19,25.0,12
ID16192,190,19,25.0,12
ID18100,63597,19,25.0,12
ID6307,10433,19,25.0,12
ID2399,231878,19,25.0,12
ID6886,20254,19,25.0,12
ID5936,16226,19,25.0,12
ID22312,321,19,25.0,12
ID26907,15597,19,25.0,12
ID681,1022,19,25.0,12
ID10854,20,19,25.0,12
ID22565,93,19,25.0,12
ID25453,6327,19,25.0,12
ID10855,7010,19,25.0,12
ID26888,27516,19,25.0,12
ID21394,950,19,25.0,12
ID16954,1418,19,25.0,12
ID29723,1053,19,25.0,12
ID7507,0,19,25.0,12
ID27249,1181,19,25.0,12
ID18000,481,19,25.0,12
ID20542,76,19,25.0,12
ID10512,1486449,19,25.0,12
ID8744,1202,19,25.0,12
ID12969,35976,19,25.0,12
ID4586,25047,19,,12
ID13856,148044,19,25.0,12
ID22855,0,19,25.0,12
ID23871,72431,19,25.0,12
ID15739,150208,19,25.0,12
ID12961,7567,19,25.0,12
ID12352,48,19,126.0,12
ID23752,10896,19,25.0,12
ID28214,198,19,25.0,12
ID2147,12824,19,25.0,12
ID14038,0,20,25.0,12
ID23172,0,20,25.0,12
ID7689,124,20,25.0,12
ID14975,74871,20,25.0,12
ID344,11589,20,25.0,12
ID26297,10665,20,25.0,12
ID16119,3988,20,25.0,12
